CODE,PAYS,CA16,CA15,CA14,CA13,CA12,CA11,CA10,CA09,CA08,CA07,CA06,CA05,CA04,CA03,CA02,CA01,CA00,CA99,CA98,CA97,CA96,CA95,CA94,CA93,CA92,CA91,CA90,CA89
312,France,5,5,3,6,3,5,6,4,3,4,3,2,3,6,5,5,5,4,5,3,5,3,3,4,3,4,5,3
112,Etats-Unis,3,3,2,4,6,1,1,1,4,5,3,5,4,3,3,4,4,4,3,5,3,6,4,3,5,5,3,4
327,Royaume-Uni,2,1,2,1,1,1,3,2,0,0,2,0,1,1,4,0,2,2,2,3,2,4,1,4,3,0,1,2
317,Italie,0,3,1,1,1,2,1,1,2,0,2,1,1,1,1,2,0,1,2,2,2,1,4,3,1,3,1,3
416,Japon,0,1,1,2,1,2,1,0,0,1,0,1,2,2,0,3,2,1,0,1,0,1,0,0,0,0,1,1
405,Chine,0,1,0,1,0,0,1,1,1,0,1,2,1,1,1,0,2,1,0,0,0,1,1,1,0,1,1,0
501,Russie,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,1,0,1,1,0,0,0,2,1,2,2,2,0
105,Canada,1,0,3,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1
409,Corée du Sud,1,0,0,0,2,0,2,1,0,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
406,Taiwan,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,0,2,0,1,0,1,1,0,0,0,0
308,Danemark,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0
119,Mexique,0,1,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
304,Belgique,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
309,Espagne,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
601,Australie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,3,0,0,0,2
303,Autriche,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
415,Israel,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
302,Allemagne,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
101,Argentine,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
414,Iran,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
,Europe,2,3,2,1,2,2,1,0,2,4,3,0,1,1,2,2,2,1,2,0,3,4,2,0,1,2,2,2
,Afrique,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
,Asie,1,0,0,0,0,0,0,2,2,1,0,0,1,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0
,Amérique Latine,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,1,1
