"PAYS","variable","value"
"Kenya","CA91",0
"Liban","CA91",0
"Lituanie","CA91",0
"Malaisie","CA91",0
"Maroc","CA91",0
"Perou","CA91",0
"République Tchèque","CA91",0
"Slovaquie","CA91",0
"Slovénie","CA91",0
"Sri Lanka","CA91",0
"Uruguay","CA91",0
"Venezuela","CA91",0
"France","CA92",3
"Etats-Unis","CA92",5
"Royaume-Uni","CA92",3
"Italie","CA92",1
"Japon","CA92",0
"Chine","CA92",0
"Russie","CA92",2
"Canada","CA92",1
"Corée du Sud","CA92",0
"Taiwan","CA92",0
"Danemark","CA92",0
"Mexique","CA92",0
"Belgique","CA92",0
"Espagne","CA92",1
"Australie","CA92",0
"Autriche","CA92",0
"Israel","CA92",0
"Allemagne","CA92",0
"Argentine","CA92",1
"Iran","CA92",0
"Portugal","CA92",0
"Turquie","CA92",0
"Brésil","CA92",0
"Hong-Kong","CA92",0
"Roumanie","CA92",0
"Finlande","CA92",0
"Grèce","CA92",0
"Hongrie","CA92",0
"Serbie","CA92",0
"Suède","CA92",1
"Nouvelle-Zélande","CA92",1
"Philippines","CA92",0
"Pologne","CA92",0
"Afrique du Sud","CA92",0
"Algérie","CA92",0
"Bosnie","CA92",0
"Burkina Faso","CA92",0
"Cambodge","CA92",0
"Chili","CA92",1
"Colombie","CA92",0
"Egypte","CA92",0
"Guinée","CA92",0
"Haiti","CA92",0
"Inde","CA92",0
"Irak","CA92",0
"Irlande","CA92",0
"Mali","CA92",0
"Mauritanie","CA92",0
"Norvège","CA92",0
"Palestine","CA92",0
"Pays-Bas","CA92",0
"Sénégal","CA92",1
"Singapour","CA92",0
"Suisse","CA92",0
"Tchad","CA92",0
"Thailande","CA92",0
"Ukraine","CA92",0
"Albanie","CA92",0
"Bangladesh","CA92",0
"Bolivie","CA92",0
"Bulgarie","CA92",0
"Croatie","CA92",0
"Cuba","CA92",0
"Géorgie","CA92",0
"Islande","CA92",0
"Kazakhstan","CA92",0
"Kenya","CA92",0
"Liban","CA92",0
"Lituanie","CA92",0
"Malaisie","CA92",0
"Maroc","CA92",0
"Perou","CA92",0
"République Tchèque","CA92",0
"Slovaquie","CA92",0
"Slovénie","CA92",0
"Sri Lanka","CA92",0
"Uruguay","CA92",0
"Venezuela","CA92",0
"France","CA93",4
"Etats-Unis","CA93",3
"Royaume-Uni","CA93",4
"Italie","CA93",3
"Japon","CA93",0
"Chine","CA93",1
"Russie","CA93",1
"Canada","CA93",0
"Corée du Sud","CA93",0
"Taiwan","CA93",1
"Danemark","CA93",0
"Mexique","CA93",0
"Belgique","CA93",0
"Espagne","CA93",0
"Australie","CA93",3
"Autriche","CA93",0
"Israel","CA93",0
"Allemagne","CA93",1
"Argentine","CA93",0
"Iran","CA93",0
"Portugal","CA93",0
"Turquie","CA93",0
"Brésil","CA93",0
"Hong-Kong","CA93",0
"Roumanie","CA93",0
"Finlande","CA93",0
